#Reference Reaction : 235U(n,f)
#Neutron energy (MeV),Cross section (barn)
0.2530E-07,584.44067858 
0.9400E-05,246.43705906
0.1500E-03,21.18762479
0.2500E-03,20.69721685
0.3500E-03,13.14362342
0.4500E-03,13.79436733
0.5500E-03,15.17511073
0.6500E-03,11.52147259
0.7500E-03,11.11095079
0.8500E-03,8.22064191
0.9500E-03,7.51089580
0.1500E-02,7.31175406
0.2500E-02,5.39073237
0.3500E-02,4.79170283
0.4500E-02,4.26825014
0.5500E-02,3.84688954
0.6500E-02,3.29788745
0.7500E-02,3.24241071
0.8500E-02,3.01359560
0.9500E-02,3.12997879
0.1500E-01,2.50406378
0.2000E-01,2.38728249
0.2400E-01,2.15906453
0.3000E-01,2.07736348
0.4500E-01,1.85390061
0.5500E-01,1.81985195
0.6500E-01,1.75960544
0.7500E-01,1.68471078
0.8500E-01,1.60708183
0.9500E-01,1.58303571
0.1000E+00,1.58919160
0.1200E+00,1.50413711
0.1500E+00,1.43491127
0.1700E+00,1.40817668
0.1800E+00,1.39811857
0.1900E+00,1.37194993
0.2000E+00,1.34784998
0.2100E+00,1.35272529
0.2200E+00,1.32784570
0.2300E+00,1.30472437
0.2350E+00,1.31232053
0.2400E+00,1.30396178
0.2450E+00,1.30495225
0.2500E+00,1.29308628
0.2600E+00,1.27201279
0.2700E+00,1.25504109
0.2800E+00,1.23798517
0.3000E+00,1.23317364
0.3250E+00,1.23777884
0.3500E+00,1.21897213
0.3750E+00,1.22334335
0.4000E+00,1.19064966
0.4250E+00,1.20867763
0.4500E+00,1.16829320
0.4750E+00,1.14418266
0.5000E+00,1.14244438
0.5200E+00,1.14434712
0.5400E+00,1.12636719
0.5700E+00,1.14268049
0.6000E+00,1.11259614
0.6500E+00,1.12300785
0.7000E+00,1.12045075
0.7500E+00,1.13593096
0.8000E+00,1.11195901
0.8500E+00,1.12189298
0.9000E+00,1.14501772
0.9400E+00,1.17392261
0.9600E+00,1.19893654
0.9800E+00,1.20868721
0.1000E+01,1.20445501
0.1100E+01,1.20021261
0.1250E+01,1.22753050
0.1400E+01,1.23841340
0.1600E+01,1.25842019
0.1800E+01,1.27049899
0.2000E+01,1.28458581
0.2200E+01,1.27778970
0.2400E+01,1.26643503
0.2600E+01,1.25336288
0.2800E+01,1.23901029
0.3000E+01,1.21343122
0.3600E+01,1.16320964
0.4000E+01,1.13533755
0.4500E+01,1.11622000
0.4700E+01,1.09788013
0.5000E+01,1.06979926
0.5300E+01,1.05365296
0.5500E+01,1.03484367
0.5800E+01,1.03605252
0.6000E+01,1.08741302
0.6200E+01,1.17378290
0.6500E+01,1.32707394
0.7000E+01,1.53166272
0.7500E+01,1.68878542
0.7750E+01,1.72779117
0.8000E+01,1.77522580
0.8500E+01,1.78352159
0.9000E+01,1.77254138
0.1000E+02,1.74788477
0.1100E+02,1.72778954
0.1150E+02,1.69260540
0.1200E+02,1.70654082
0.1300E+02,1.86700678
0.1400E+02,2.07307216
0.1450E+02,2.08455444
0.1500E+02,2.11794585
0.1600E+02,2.13959279
0.1700E+02,2.08257344
0.1800E+02,2.04895584
0.1900E+02,2.02665705
0.2000E+02,2.01750298
0.2100E+02,2.08634230
0.2200E+02,2.11168690
0.2300E+02,2.13858879
0.2400E+02,2.07631967
0.2500E+02,2.12268474
0.2600E+02,2.11989296
0.2700E+02,2.10268048
0.2800E+02,2.11841103
0.2900E+02,2.09562830
0.3000E+02,2.15152668
0.3200E+02,2.12907920
0.3400E+02,2.09959205
0.3600E+02,2.02487250
0.3800E+02,1.96554861
0.4000E+02,1.99890925
0.4200E+02,1.97762234
0.4400E+02,1.95517943
0.4600E+02,1.93479170
0.4800E+02,1.92186686
0.5000E+02,1.89784832
0.5200E+02,1.90407007
0.5400E+02,1.86079207
0.5600E+02,1.88855954
0.5800E+02,1.87442171
0.6000E+02,1.84603920
0.6400E+02,1.84208743
0.6800E+02,1.76040782
0.7200E+02,1.72732307
0.7600E+02,1.74285138
0.8000E+02,1.71377466
0.8400E+02,1.71871907
0.8800E+02,1.65120058
0.9200E+02,1.62472024
0.9600E+02,1.59419638
0.1000E+03,1.60293547
0.1040E+03,1.52889920
0.1080E+03,1.57591104
0.1120E+03,1.52500060
0.1160E+03,1.54485463
0.1200E+03,1.48800012
0.1280E+03,1.47382036
0.1360E+03,1.47628423
0.1440E+03,1.44210886
0.1520E+03,1.45917423
0.1600E+03,1.43845243
0.1680E+03,1.43820715
0.1760E+03,1.44813917
0.1840E+03,1.44910691
0.1920E+03,1.43855485
0.2000E+03,1.44947905
0.3000E+03,1.56339281
0.4000E+03,1.61509875
0.5000E+03,1.55534288
0.6000E+03,1.54998109
0.7000E+03,1.59909077
0.8000E+03,1.57278287
0.9000E+03,1.62968293
0.1000E+04,1.61813153
