#Reference Reaction :   238U(n,f) 
#Neutron energy (MeV), Cross section (barns)
0.5000E+00,0.00026980
0.5200E+00,0.00067119
0.5400E+00,0.00059598
0.5700E+00,0.00065116
0.6000E+00,0.00116531
0.6500E+00,0.00129202
0.7000E+00,0.00184360
0.7500E+00,0.00264695
0.8000E+00,0.00450784
0.8500E+00,0.00675016
0.9000E+00,0.01378015
0.9400E+00,0.01690077
0.9600E+00,0.01550547
0.9800E+00,0.01588961
0.1000E+01,0.01410576
0.1100E+01,0.02895309
0.1250E+01,0.03320903
0.1400E+01,0.18619023
0.1600E+01,0.41835630
0.1800E+01,0.48206710
0.2000E+01,0.53553997
0.2200E+01,0.54749355
0.2400E+01,0.54624349
0.2600E+01,0.54151562
0.2800E+01,0.53708920
0.3000E+01,0.52481337
0.3600E+01,0.54752327
0.4000E+01,0.55451845
0.4500E+01,0.55921914
0.4700E+01,0.55980956
0.5000E+01,0.54833662
0.5300E+01,0.55240729
0.5500E+01,0.54820060
0.5800E+01,0.56779697
0.6000E+01,0.61392195
0.6200E+01,0.68694589
0.6500E+01,0.82159525
0.7000E+01,0.95004294
0.7500E+01,0.99851630
0.7750E+01,0.99569271
0.8000E+01,1.01920402
0.8500E+01,1.01472289
0.9000E+01,1.01452311
0.1000E+02,1.01117324
0.1100E+02,1.00882950
0.1150E+02,1.00505332
0.1200E+02,0.98752794
0.1300E+02,1.03156514
0.1400E+02,1.14994058
0.1450E+02,1.19263970
0.1500E+02,1.24300610
0.1600E+02,1.32225423
0.1700E+02,1.32703520
0.1800E+02,1.32162220
0.1900E+02,1.35796397
0.2000E+02,1.40707482
0.2100E+02,1.51901925
0.2200E+02,1.55512900
0.2300E+02,1.60213378
0.2400E+02,1.54300822
0.2500E+02,1.57505132
0.2600E+02,1.58626925
0.2700E+02,1.56289817
0.2800E+02,1.62440482
0.2900E+02,1.61076480
0.3000E+02,1.65532032
0.3200E+02,1.70277087
0.3400E+02,1.69981759
0.3600E+02,1.65676440
0.3800E+02,1.63970023
0.4000E+02,1.66526066
0.4200E+02,1.65841277
0.4400E+02,1.65557833
0.4600E+02,1.68089904
0.4800E+02,1.64272747
0.5000E+02,1.61694393
0.5200E+02,1.64917876
0.5400E+02,1.61998653
0.5600E+02,1.63154717
0.5800E+02,1.62447590
0.6000E+02,1.58763664
0.6400E+02,1.57865896
0.6800E+02,1.52995539
0.7200E+02,1.50445837
0.7600E+02,1.51984211
0.8000E+02,1.49515595
0.8400E+02,1.49600313
0.8800E+02,1.44827525
0.9200E+02,1.40759496
0.9600E+02,1.39989479
0.1000E+03,1.42732347
0.1040E+03,1.38255921
0.1080E+03,1.42826710
0.1120E+03,1.35680338
0.1160E+03,1.36360367
0.1200E+03,1.33475089
0.1280E+03,1.32909427
0.1360E+03,1.29432732
0.1440E+03,1.28907594
0.1520E+03,1.32032323
0.1600E+03,1.31550749
0.1680E+03,1.29939456
0.1760E+03,1.33658872
0.1840E+03,1.34154384
0.1920E+03,1.31700244
0.2000E+03,1.32466100
0.3000E+03,1.44100000
0.4000E+03,1.49700000
0.5000E+03,1.46100000
0.6000E+03,1.45800000
0.7000E+03,1.47500000
0.8000E+03,1.48200000
0.9000E+03,1.46800000
0.1000E+04,1.46700001
